Setting background mode
Setting frequency
Setting sample count
Processing /tmp/wifi_channel_measurements.bin with an interval of 500 microseconds
interval found 6228527404
to large of a gap, starting over
interval found 662
interval found 505
interval found 513
interval found 505
interval found 512
interval found 505
interval found 512
interval found 504
interval found 511
interval found 503
interval found 510
interval found 502
interval found 509
interval found 501
interval found 508
interval found 501
interval found 508
interval found 515
interval found 508
interval found 515
interval found 507
interval found 514
interval found 506
interval found 513
interval found 505
interval found 512
interval found 505
interval found 511
interval found 504
interval found 511
interval found 503
interval found 511
interval found 503
interval found 510
interval found 503
interval found 510
interval found 502
interval found 509
interval found 501
interval found 508
interval found 515
interval found 508
interval found 515
interval found 508
interval found 515
interval found 508
interval found 515
interval found 507
interval found 514
interval found 506
interval found 514
interval found 506
interval found 513
interval found 505
interval found 513
interval found 505
interval found 512
interval found 504
interval found 511
interval found 504
interval found 510
interval found 502
interval found 510
interval found 502
interval found 509
interval found 501
interval found 507
interval found 515
interval found 507
interval found 514
interval found 506
interval found 513
interval found 505
interval found 512
interval found 504
interval found 511
interval found 504
interval found 511
interval found 503
interval found 511
interval found 503
interval found 511
interval found 503
interval found 511
interval found 503
interval found 510
interval found 503
interval found 510
interval found 502
interval found 509
interval found 502
interval found 509
interval found 501
interval found 508
interval found 515
interval found 507
interval found 514
interval found 506
interval found 514
interval found 507
interval found 514
interval found 506
interval found 513
interval found 505
interval found 512
interval found 504
interval found 511
interval found 504
interval found 511
interval found 503
interval found 510
interval found 503
interval found 510
interval found 502
interval found 510
interval found 502
interval found 509
interval found 501
interval found 508
interval found 502
interval found 509
interval found 501
interval found 508
interval found 501
interval found 508
interval found 515
interval found 508
interval found 515
interval found 507
interval found 514
interval found 507
interval found 515
interval found 507
interval found 514
interval found 506
interval found 513
interval found 505
interval found 513
interval found 505
interval found 512
interval found 505
interval found 512
interval found 504
interval found 514
interval found 506
interval found 513
interval found 505
interval found 512
interval found 504
interval found 512
interval found 504
interval found 503
interval found 511
interval found 504
interval found 511
interval found 503
interval found 510
interval found 502
interval found 509
interval found 503
interval found 510
interval found 502
interval found 510
interval found 502
interval found 510
interval found 502
interval found 509
interval found 501
interval found 508
interval found 515
interval found 507
interval found 514
interval found 506
interval found 513
interval found 505
interval found 505
interval found 512
interval found 505
interval found 512
interval found 504
interval found 511
interval found 503
interval found 511
interval found 504
interval found 505
interval found 507
interval found 514
interval found 506
interval found 513
interval found 505
interval found 512
interval found 924
interval found 513
interval found 505
interval found 512
interval found 504
interval found 512
interval found 505
interval found 512
interval found 504
interval found 511
interval found 503
interval found 510
interval found 502
interval found 509
interval found 562
interval found 510
interval found 502
interval found 509
interval found 501
interval found 509
interval found 501
interval found 508
interval found 501
interval found 508
interval found 515
interval found 507
interval found 514
interval found 507
interval found 514
interval found 509
interval found 502
interval found 509
interval found 501
interval found 509
interval found 501
interval found 508
interval found 515
interval found 507
interval found 514
interval found 507
interval found 511
interval found 503
interval found 511
interval found 504
interval found 511
interval found 503
interval found 511
interval found 503
interval found 510
interval found 502
interval found 509
interval found 501
interval found 508
interval found 515
interval found 507
interval found 514
interval found 507
interval found 514
interval found 506
interval found 503
interval found 510
interval found 502
interval found 509
interval found 501
interval found 508
interval found 501
interval found 508
interval found 515
interval found 507
interval found 514
interval found 506
interval found 513
interval found 506
interval found 513
interval found 506
interval found 504
interval found 511
interval found 503
interval found 511
interval found 503
interval found 510
interval found 502
interval found 510
interval found 502
interval found 509
interval found 501
interval found 508
interval found 501
interval found 508
interval found 501
interval found 508
interval found 515
interval found 508
interval found 515
interval found 507
interval found 514
interval found 507
interval found 514
interval found 506
interval found 513
interval found 505
interval found 512
interval found 504
interval found 511
interval found 503
interval found 510
interval found 502
interval found 509
interval found 502
interval found 509
interval found 501
interval found 508
interval found 515
interval found 508
interval found 515
interval found 507
interval found 514
interval found 506
interval found 513
interval found 505
interval found 514
interval found 507
interval found 514
interval found 506
interval found 514
interval found 506
interval found 514
interval found 506
interval found 513
interval found 505
interval found 512
interval found 504
interval found 511
interval found 503
interval found 510
interval found 502
